,company_name,date,low,open,volume,high,close,adjusted_close
0,Apple,2022-01-14,171.08999633789062,171.33999633789062,80440800,173.77999877929688,173.07000732421875,172.59620666503906
1,Sherwin-Williams,2022-01-14,304.0,310.239990234375,2622700,313.45001220703125,308.4599914550781,307.0341186523437
2,Costco,2022-01-14,501.8599853515625,511.5700073242188,3872500,512.97998046875,502.989990234375,501.41302490234375
3,Amazon,2022-01-14,159.80050659179688,160.14999389648438,45974000,162.25,162.13800048828125,162.13800048828125
4,United Health Group,2022-01-14,465.0799865722656,469.8900146484375,3665400,473.1700134277344,468.6900024414063,468.6900024414063
5,Netflix,2022-01-14,511.8800048828125,517.5999755859375,7861100,538.3699951171875,525.6900024414062,525.6900024414062
6,FedEx,2022-01-14,253.259994506836,254.58999633789065,1393600,256.6600036621094,256.2200012207031,254.06446838378903
7,DTE Energy,2022-01-14,118.1999969482422,119.66999816894533,690300,119.73999786376952,119.37999725341795,117.67305755615234
8,Bank of America,2022-01-14,47.18999862670898,47.52000045776367,72953300,48.22999954223633,47.90999984741211,47.40385437011719
9,Marathon Oil Corp,2022-01-14,18.65999984741211,18.71999931335449,17997300,19.5,19.46999931335449,19.35025787353516
10,American Tower Corp,2022-01-14,246.08999633789065,253.63999938964844,2549900,254.1999969482422,250.6199951171875,247.81076049804688
11,Netflix,2022-01-18,508.6799926757813,520.0800170898438,4839100,521.75,510.7999877929688,510.7999877929688
12,Bank of America,2022-01-18,46.04999923706055,47.84999847412109,65877400,47.91999816894531,46.2599983215332,45.77128601074219
13,Costco,2022-01-18,486.8599853515625,494.4599914550781,3801900,495.0799865722656,488.0700073242188,486.5398254394531
14,Apple,2022-01-18,169.41000366210938,171.50999450683594,90956700,172.5399932861328,169.8000030517578,169.33514404296875
15,Marathon Oil Corp,2022-01-18,19.100000381469727,19.809999465942383,26533500,20.01000022888184,19.43000030517578,19.31050491333008
16,FedEx,2022-01-18,250.25,252.66000366210932,1918700,254.2400054931641,253.3300018310547,251.19879150390625
17,Amazon,2022-01-18,157.6645050048828,159.10499572753906,67292000,159.7344970703125,158.91749572753906,158.91749572753906
18,American Tower Corp,2022-01-18,247.77999877929688,248.6300048828125,2523600,250.97000122070312,250.22999572753903,247.42514038085932
19,United Health Group,2022-01-18,458.3500061035156,465.1700134277344,3938800,465.7099914550781,460.989990234375,460.989990234375
20,DTE Energy,2022-01-18,117.13999938964844,118.63999938964844,868200,119.13999938964844,118.37999725341795,116.6873550415039
21,Sherwin-Williams,2022-01-18,297.7799987792969,300.7099914550781,2738200,306.95001220703125,306.2200012207031,304.80450439453125
22,Apple,2022-01-19,165.94000244140625,170.0,94815000,171.0800018310547,166.22999572753906,165.77491760253906
23,American Tower Corp,2022-01-19,248.0800018310547,251.2100067138672,2200000,253.259994506836,249.0,246.2089080810547
24,DTE Energy,2022-01-19,117.88999938964844,118.55999755859376,543600,119.58999633789062,118.66999816894533,116.97321319580078
25,Costco,2022-01-19,487.1000061035156,489.8900146484375,2709400,496.239990234375,490.1600036621094,488.6232604980469
26,Sherwin-Williams,2022-01-19,303.57000732421875,306.6600036621094,1859800,309.20001220703125,303.7900085449219,302.3857421875
27,United Health Group,2022-01-19,461.510009765625,468.0,4030900,475.489990234375,462.5199890136719,462.5199890136719
28,FedEx,2022-01-19,252.17999267578125,253.3300018310547,1302800,255.8099975585937,252.19000244140625,250.06837463378903
29,Marathon Oil Corp,2022-01-19,18.920000076293945,19.700000762939453,17325300,19.71999931335449,19.100000381469727,18.98253631591797
30,Netflix,2022-01-19,510.510009765625,515.0,4353500,523.2100219726562,515.8599853515625,515.8599853515625
31,Amazon,2022-01-19,156.25,158.76199340820312,53242000,159.25,156.2989959716797,156.2989959716797
32,Bank of America,2022-01-19,46.34999847412109,48.38999938964844,84451800,48.58000183105469,46.43999862670898,45.94938659667969
33,Amazon,2022-01-20,151.3509979248047,156.76600646972656,71974000,158.0,151.66749572753906,151.66749572753906
34,American Tower Corp,2022-01-20,245.5399932861328,249.88999938964844,2120900,252.8600006103516,245.94000244140625,243.18321228027344
35,Apple,2022-01-20,164.17999267578125,166.97999572753906,91420500,169.67999267578125,164.50999450683594,164.0596160888672
36,Netflix,2022-01-20,506.9299926757813,517.75,12659000,526.6400146484375,508.25,508.25
37,FedEx,2022-01-20,250.63999938964844,253.72000122070312,1671600,256.0,250.7400054931641,248.6305694580078
38,Costco,2022-01-20,481.8399963378906,490.75,2893700,499.8800048828125,482.8200073242188,481.3062744140625
39,Bank of America,2022-01-20,45.65999984741211,46.68999862670898,46265300,47.04999923706055,45.75,45.26667785644531
40,DTE Energy,2022-01-20,118.08999633789062,118.9800033569336,714300,120.2300033569336,118.36000061035156,116.66764068603516
41,Sherwin-Williams,2022-01-20,296.75,305.32000732421875,1501300,307.57000732421875,297.6600036621094,296.2840881347656
42,Marathon Oil Corp,2022-01-20,18.65999984741211,18.81999969482422,17616700,19.520000457763672,18.68000030517578,18.56511688232422
43,United Health Group,2022-01-20,462.0,464.3800048828125,3228600,471.6300048828125,463.0,463.0
44,Netflix,2022-01-21,379.989990234375,400.4299926757813,58904300,409.1499938964844,397.5,397.5
45,Bank of America,2022-01-21,44.65999984741211,45.56999969482422,71303600,46.02000045776367,44.91999816894531,44.44544219970703
46,Costco,2022-01-21,481.3200073242188,481.9200134277344,3295600,494.6099853515625,481.6099853515625,480.10003662109375
47,Marathon Oil Corp,2022-01-21,17.75,18.450000762939453,18710900,18.5,18.100000381469727,17.988685607910156
48,United Health Group,2022-01-21,461.0700073242188,463.5,4273200,470.7900085449219,461.1700134277344,461.1700134277344
49,Sherwin-Williams,2022-01-21,292.760009765625,297.6600036621094,2124900,301.8500061035156,292.8500061035156,291.4963073730469
50,FedEx,2022-01-21,243.94000244140625,249.6300048828125,3063600,249.9900054931641,244.91000366210932,242.84962463378903
